R,LDG,LDGQ,LDP,LDPQ,WD
0.2725,1.03E-02,1.15E-03,3.49E-02,1.63E-02,6.60E-03
0.2735,1.02E-02,1.16E-03,3.48E-02,1.63E-02,6.58E-03
0.2745,1.02E-02,1.16E-03,3.46E-02,1.63E-02,6.57E-03
0.2755,1.02E-02,1.16E-03,3.45E-02,1.63E-02,6.56E-03
0.2765,1.01E-02,1.17E-03,3.44E-02,1.62E-02,6.55E-03
0.2775,1.01E-02,1.17E-03,3.42E-02,1.62E-02,6.53E-03
0.2785,1.01E-02,1.17E-03,3.41E-02,1.62E-02,6.52E-03
0.2795,1.00E-02,1.18E-03,3.40E-02,1.62E-02,6.51E-03
0.2805,1.00E-02,1.18E-03,3.38E-02,1.62E-02,6.49E-03
0.2815,9.96E-03,1.18E-03,3.37E-02,1.61E-02,6.48E-03
0.2825,9.93E-03,1.19E-03,3.36E-02,1.61E-02,6.47E-03
0.2835,9.89E-03,1.19E-03,3.34E-02,1.61E-02,6.45E-03
0.2845,9.86E-03,1.19E-03,3.33E-02,1.61E-02,6.44E-03
0.2855,9.83E-03,1.20E-03,3.32E-02,1.61E-02,6.43E-03
0.2865,9.79E-03,1.20E-03,3.30E-02,1.60E-02,6.41E-03
0.2875,9.76E-03,1.20E-03,3.29E-02,1.60E-02,6.40E-03
0.2885,9.73E-03,1.21E-03,3.28E-02,1.60E-02,6.38E-03
0.2895,9.69E-03,1.21E-03,3.26E-02,1.60E-02,6.37E-03
0.2905,9.66E-03,1.21E-03,3.25E-02,1.59E-02,6.35E-03
0.2915,9.63E-03,1.22E-03,3.24E-02,1.59E-02,6.34E-03
0.2925,9.59E-03,1.22E-03,3.23E-02,1.59E-02,6.33E-03
0.2935,9.56E-03,1.22E-03,3.21E-02,1.59E-02,6.31E-03
0.2945,9.53E-03,1.22E-03,3.20E-02,1.59E-02,6.30E-03
0.2955,9.50E-03,1.23E-03,3.19E-02,1.58E-02,6.28E-03
0.2965,9.46E-03,1.23E-03,3.18E-02,1.58E-02,6.27E-03
0.2975,9.43E-03,1.23E-03,3.16E-02,1.58E-02,6.25E-03
0.2985,9.40E-03,1.24E-03,3.15E-02,1.58E-02,6.24E-03
0.2995,9.36E-03,1.24E-03,3.14E-02,1.57E-02,6.22E-03
0.3005,9.33E-03,1.24E-03,3.13E-02,1.57E-02,6.21E-03
0.3015,9.30E-03,1.24E-03,3.11E-02,1.57E-02,6.19E-03
0.3025,9.27E-03,1.25E-03,3.10E-02,1.57E-02,6.18E-03
0.3035,9.23E-03,1.25E-03,3.09E-02,1.56E-02,6.16E-03
0.3045,9.20E-03,1.25E-03,3.08E-02,1.56E-02,6.14E-03
0.3055,9.17E-03,1.25E-03,3.06E-02,1.56E-02,6.13E-03
0.3065,9.14E-03,1.26E-03,3.05E-02,1.56E-02,6.11E-03
0.3075,9.10E-03,1.26E-03,3.04E-02,1.55E-02,6.10E-03
0.3085,9.07E-03,1.26E-03,3.03E-02,1.55E-02,6.08E-03
