R,LDG,LDGQ,LDP,LDPQ,WD
0.0539,1.78E-04,1.78E-06,5.48E-03,2.22E-03,1.08E-03
0.0541,1.78E-04,1.79E-06,5.46E-03,2.23E-03,1.08E-03
0.0543,1.78E-04,1.80E-06,5.45E-03,2.23E-03,1.08E-03
0.0545,1.78E-04,1.82E-06,5.44E-03,2.23E-03,1.08E-03
0.0547,1.77E-04,1.83E-06,5.42E-03,2.23E-03,1.08E-03
0.0549,1.77E-04,1.85E-06,5.41E-03,2.24E-03,1.08E-03
0.0551,1.77E-04,1.86E-06,5.40E-03,2.24E-03,1.09E-03
0.0553,1.77E-04,1.87E-06,5.38E-03,2.24E-03,1.09E-03
0.0555,1.76E-04,1.89E-06,5.37E-03,2.24E-03,1.09E-03
0.0557,1.76E-04,1.90E-06,5.36E-03,2.25E-03,1.09E-03
0.0559,1.76E-04,1.91E-06,5.34E-03,2.25E-03,1.09E-03
0.0561,1.75E-04,1.93E-06,5.33E-03,2.25E-03,1.09E-03
0.0563,1.75E-04,1.94E-06,5.32E-03,2.25E-03,1.10E-03
0.0565,1.75E-04,1.96E-06,5.30E-03,2.25E-03,1.10E-03
0.0567,1.75E-04,1.97E-06,5.29E-03,2.26E-03,1.10E-03
0.0569,1.74E-04,1.99E-06,5.28E-03,2.26E-03,1.10E-03
0.0571,1.74E-04,2.00E-06,5.26E-03,2.26E-03,1.10E-03
0.0573,1.74E-04,2.01E-06,5.25E-03,2.26E-03,1.10E-03
0.0575,1.74E-04,2.03E-06,5.24E-03,2.27E-03,1.10E-03
0.0577,1.73E-04,2.04E-06,5.22E-03,2.27E-03,1.10E-03
0.0579,1.73E-04,2.06E-06,5.21E-03,2.27E-03,1.11E-03
0.0581,1.73E-04,2.07E-06,5.20E-03,2.27E-03,1.11E-03
0.0583,1.72E-04,2.09E-06,5.19E-03,2.27E-03,1.11E-03
0.0585,1.72E-04,2.10E-06,5.17E-03,2.28E-03,1.11E-03
0.0587,1.72E-04,2.12E-06,5.16E-03,2.28E-03,1.11E-03
0.0589,1.72E-04,2.13E-06,5.15E-03,2.28E-03,1.11E-03
0.0591,1.71E-04,2.15E-06,5.13E-03,2.28E-03,1.11E-03
0.0593,1.71E-04,2.16E-06,5.12E-03,2.28E-03,1.11E-03
0.0595,1.71E-04,2.18E-06,5.11E-03,2.29E-03,1.12E-03
0.0597,1.71E-04,2.19E-06,5.10E-03,2.29E-03,1.12E-03
0.0599,1.70E-04,2.21E-06,5.08E-03,2.29E-03,1.12E-03
0.0601,1.70E-04,2.22E-06,5.07E-03,2.29E-03,1.12E-03
0.0603,1.70E-04,2.24E-06,5.06E-03,2.29E-03,1.12E-03
0.0605,1.69E-04,2.25E-06,5.05E-03,2.29E-03,1.12E-03
0.0607,1.69E-04,2.27E-06,5.03E-03,2.30E-03,1.12E-03
0.0609,1.69E-04,2.29E-06,5.02E-03,2.30E-03,1.12E-03
0.0611,1.69E-04,2.30E-06,5.01E-03,2.30E-03,1.13E-03
0.0613,1.68E-04,2.32E-06,5.00E-03,2.30E-03,1.13E-03
0.0615,1.68E-04,2.33E-06,4.98E-03,2.30E-03,1.13E-03
0.0617,1.68E-04,2.35E-06,4.97E-03,2.30E-03,1.13E-03
0.0619,1.68E-04,2.36E-06,4.96E-03,2.31E-03,1.13E-03
0.0621,1.67E-04,2.38E-06,4.95E-03,2.31E-03,1.13E-03
0.0623,1.67E-04,2.40E-06,4.94E-03,2.31E-03,1.13E-03
0.0625,1.67E-04,2.41E-06,4.92E-03,2.31E-03,1.13E-03
0.0627,1.66E-04,2.43E-06,4.91E-03,2.31E-03,1.13E-03
0.0629,1.66E-04,2.44E-06,4.90E-03,2.31E-03,1.14E-03
0.0631,1.66E-04,2.46E-06,4.89E-03,2.31E-03,1.14E-03
0.0633,1.66E-04,2.48E-06,4.88E-03,2.32E-03,1.14E-03
0.0635,1.65E-04,2.49E-06,4.86E-03,2.32E-03,1.14E-03
0.0637,1.65E-04,2.51E-06,4.85E-03,2.32E-03,1.14E-03
0.0639,1.65E-04,2.53E-06,4.84E-03,2.32E-03,1.14E-03
0.0641,1.64E-04,2.54E-06,4.83E-03,2.32E-03,1.14E-03
0.0643,1.64E-04,2.56E-06,4.82E-03,2.32E-03,1.14E-03
0.0645,1.64E-04,2.58E-06,4.81E-03,2.32E-03,1.14E-03
0.0647,1.64E-04,2.59E-06,4.79E-03,2.32E-03,1.14E-03
0.0649,1.63E-04,2.61E-06,4.78E-03,2.32E-03,1.14E-03
0.0651,1.63E-04,2.63E-06,4.77E-03,2.33E-03,1.15E-03
0.0653,1.63E-04,2.64E-06,4.76E-03,2.33E-03,1.15E-03
0.0655,1.63E-04,2.66E-06,4.75E-03,2.33E-03,1.15E-03
0.0657,1.62E-04,2.68E-06,4.74E-03,2.33E-03,1.15E-03
0.0659,1.62E-04,2.69E-06,4.72E-03,2.33E-03,1.15E-03
0.0661,1.62E-04,2.71E-06,4.71E-03,2.33E-03,1.15E-03
0.0663,1.61E-04,2.73E-06,4.70E-03,2.33E-03,1.15E-03
0.0665,1.61E-04,2.75E-06,4.69E-03,2.33E-03,1.15E-03
0.0667,1.61E-04,2.76E-06,4.68E-03,2.33E-03,1.15E-03
0.0669,1.61E-04,2.78E-06,4.67E-03,2.33E-03,1.15E-03
0.0671,1.60E-04,2.80E-06,4.66E-03,2.33E-03,1.15E-03
0.0673,1.60E-04,2.82E-06,4.65E-03,2.34E-03,1.15E-03
0.0675,1.60E-04,2.83E-06,4.63E-03,2.34E-03,1.16E-03
0.0677,1.59E-04,2.85E-06,4.62E-03,2.34E-03,1.16E-03
0.0679,1.59E-04,2.87E-06,4.61E-03,2.34E-03,1.16E-03
0.0681,1.59E-04,2.89E-06,4.60E-03,2.34E-03,1.16E-03
0.0683,1.59E-04,2.90E-06,4.59E-03,2.34E-03,1.16E-03
0.0685,1.58E-04,2.92E-06,4.58E-03,2.34E-03,1.16E-03
0.0687,1.58E-04,2.94E-06,4.57E-03,2.34E-03,1.16E-03
0.0689,1.58E-04,2.96E-06,4.56E-03,2.34E-03,1.16E-03
0.0691,1.57E-04,2.98E-06,4.55E-03,2.34E-03,1.16E-03
