R,LDG,LDGQ,LDP,LDPQ,WD
0.3015,2.18E-04,9.87E-05,2.79E-03,2.05E-03,1.04E-03
0.3025,2.17E-04,9.88E-05,2.78E-03,2.04E-03,1.03E-03
0.3035,2.16E-04,9.90E-05,2.77E-03,2.04E-03,1.03E-03
0.3045,2.16E-04,9.92E-05,2.76E-03,2.03E-03,1.03E-03
0.3055,2.15E-04,9.93E-05,2.75E-03,2.02E-03,1.03E-03
0.3065,2.14E-04,9.95E-05,2.74E-03,2.01E-03,1.02E-03
0.3075,2.13E-04,9.96E-05,2.73E-03,2.01E-03,1.02E-03
0.3085,2.13E-04,9.97E-05,2.72E-03,2.00E-03,1.02E-03
0.3095,2.12E-04,9.99E-05,2.71E-03,1.99E-03,1.02E-03
0.3105,2.11E-04,1.00E-04,2.70E-03,1.98E-03,1.02E-03
0.3115,2.10E-04,1.00E-04,2.69E-03,1.98E-03,1.01E-03
0.3125,2.10E-04,1.00E-04,2.68E-03,1.97E-03,1.01E-03
0.3135,2.09E-04,1.00E-04,2.68E-03,1.96E-03,1.01E-03
0.3145,2.08E-04,1.00E-04,2.67E-03,1.96E-03,1.01E-03
0.3155,2.07E-04,1.00E-04,2.66E-03,1.95E-03,1.01E-03
0.3165,2.07E-04,1.01E-04,2.65E-03,1.94E-03,1.00E-03
0.3175,2.06E-04,1.01E-04,2.64E-03,1.94E-03,1.00E-03
0.3185,2.05E-04,1.01E-04,2.63E-03,1.93E-03,1.00E-03
0.3195,2.05E-04,1.01E-04,2.62E-03,1.92E-03,9.99E-04
0.3205,2.04E-04,1.01E-04,2.61E-03,1.92E-03,9.97E-04
0.3215,2.03E-04,1.01E-04,2.60E-03,1.91E-03,9.95E-04
0.3225,2.02E-04,1.01E-04,2.59E-03,1.90E-03,9.94E-04
0.3235,2.02E-04,1.01E-04,2.58E-03,1.90E-03,9.92E-04
0.3245,2.01E-04,1.01E-04,2.58E-03,1.89E-03,9.91E-04
0.3255,2.00E-04,1.01E-04,2.57E-03,1.88E-03,9.89E-04
0.3265,2.00E-04,1.01E-04,2.56E-03,1.88E-03,9.88E-04
0.3275,1.99E-04,1.01E-04,2.55E-03,1.87E-03,9.86E-04
0.3285,1.98E-04,1.01E-04,2.54E-03,1.86E-03,9.85E-04
0.3295,1.97E-04,1.01E-04,2.53E-03,1.86E-03,9.84E-04
0.3305,1.97E-04,1.01E-04,2.52E-03,1.85E-03,9.82E-04
0.3315,1.96E-04,1.01E-04,2.52E-03,1.85E-03,9.81E-04
0.3325,1.95E-04,1.01E-04,2.51E-03,1.84E-03,9.80E-04
0.3335,1.95E-04,1.01E-04,2.50E-03,1.83E-03,9.78E-04
0.3345,1.94E-04,1.01E-04,2.49E-03,1.83E-03,9.77E-04
0.3355,1.93E-04,1.01E-04,2.48E-03,1.82E-03,9.76E-04
0.3365,1.93E-04,1.01E-04,2.47E-03,1.82E-03,9.74E-04
0.3375,1.92E-04,1.00E-04,2.47E-03,1.81E-03,9.73E-04
0.3385,1.91E-04,1.00E-04,2.46E-03,1.80E-03,9.72E-04
0.3395,1.91E-04,1.00E-04,2.45E-03,1.80E-03,9.71E-04
0.3405,1.90E-04,1.00E-04,2.44E-03,1.79E-03,9.69E-04
0.3415,1.89E-04,1.00E-04,2.43E-03,1.79E-03,9.68E-04
0.3425,1.89E-04,1.00E-04,2.43E-03,1.78E-03,9.67E-04
0.3435,1.88E-04,9.99E-05,2.42E-03,1.78E-03,9.66E-04
0.3445,1.88E-04,9.98E-05,2.41E-03,1.77E-03,9.65E-04
0.3455,1.87E-04,9.97E-05,2.40E-03,1.77E-03,9.63E-04
